day,CHINA FEIHE LTD,ASSOC BRIT FOODS,ANHEUSER-BUSCH I,KONINKLIJKE AHOL,AIR FRANCE-KLM,AIR LIQUIDE SA,ALSTOM,ALTEN,ATOS SE,BEIERSDORF AG,DANONE,BUNZL PLC,BOOHOO GROUP PLC,BUREAU VERITAS S,LYX CAC 40,CAPGEMINI SE,CARLSBERG-B,CIE FINANCI-REG,COMPASS GROUP,DEUTSCHE BOERSE,DIAGEO PLC,DEUTSCHE POST-RG,DASSAULT SYSTEME,DWS GROUP GMBH &,ESSILORLUXOTTICA,ELIS SA,EURONEXT NV,FIAT CHRYSLER AU,EIFFAGE,GIVAUDAN-REG,HEINEKEN NV,HENKEL AG -PFD,HELLOFRESH SE,THALES SA,INTERTEK GROUP,INDITEX,JERONIMO MARTINS,KERING,KINGFISHER PLC,L'OREAL,PARTNERS GROUP J,PANDORA A/S,PSP SWISS PR-REG,RECKITT BENCKISE,REMY COINTREAU,RELX PLC,PERNOD RICARD SA,SOLUTIONS 30 SE,SEGRO PLC,SGS SA-REG,SEB SA,SWISS PRIME -REG,SCHNEIDER ELECTR,SYMRISE AG,TESCO PLC,PEUGEOT SA,UNILEVER PLC,VIVENDI,VONOVIA SE,WOLTERS KLUWER,WHITBREAD PLC,ZALANDO SE
11-août,0,0,0,0,0,1.1,0,0,0,0,0,0,6.3,4.1,0,0,0,0,0,0,0,0,0,0,0.5,0.8,0,0,0,0,0,0,0,17.9,0,0,0.2,0,0,0,0,0,0.6,0,0,0,3.1,0,0,0,0,0.2,3.8,0,0,0,0,0,0,0,0,0
13-août,0,0,0,0,0,0,0,0,0,0,0,0,10.9,4.1,0,0,0,0,0,0,0,0,0,0,0.8,0.6,0,0,0,0,0,0,0,15.2,0,0,0.3,0,0,0,0,0,0.7,0,0,0,0.2,0,0,0,0,0.3,4.3,0,0,0,0,0,0,0,0,0
24-août,0,0,0,0,0,0.5,0,0,0,0,0,0,7.6,4.1,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,12.4,0,0,0.1,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0.6,4.9,0,0,0,0,0,0,0,0,0
25-août,0,0,0,0,0,1.1,0,0,0,0,0,0,8.6,4.1,0,0,1.4,0,0,0,0,0,0,0,0.8,0,0,0,0,0.4,0,0,0,11,0,0,0.1,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.2,5.5,0,0,0,0,0,0,0,0,0
26-août,0,0,0,0,0,0,0,0,0,0,0,0,10.6,4.1,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,9,0,0,0.2,0,0,0,0,4.1,1.8,0,0,0,0,0,0,0,0,0.3,7.4,0,0,0,0,0,0,0,0,0
27-août,0,0,0,0,0,1.3,0,0,0,0,0,0,11.4,4.1,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0.1,0,0,0,8.9,0,0,0.2,0,0,0,0,5.2,1.6,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0
28-août,0,0,0,0,0,1.6,0,0,0,0,0,0,5,4.1,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,1.1,0,0,0,9,0,0,0,0,0,0,0,4.4,1.6,0,0,0,1.7,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0
31-août,0,0,0,0,0,2.1,0,0,0,0,0,0,5,4.1,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,5.7,1.5,0,0,0,4.9,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0
1-sept.,0,0,0,0,0,2,0,0,0,0,0,0,8.3,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.7,0,0,0,8.2,0.3,0,0,0,0.1,3.6,0,0,0,0,0,0,0,0,0
2-sept.,0,0,0,0,0,0,0,0,0,0,0,0,8.9,4.1,0,0.8,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,7,2.4,0,0,0,2.4,0,0,0,0,0.3,5.8,0,0,0,0,0,0,0,0,0
3-sept.,0,0,0,0,0,0.9,0,0,0,0,0,0,6.2,4.1,0,1.2,0.4,0,0,0,0,0,0,0.1,1.7,0,0,0.4,0,0,0,0,0,6.4,0,0,0.3,0,0,0,0,8.8,2.3,0,0,0,1.1,2.6,0,0,0,0.4,3.6,0,0,2.2,0,0,0,0,0,0
4-sept.,0,0,0,0,0,2.3,0,0,0,0,0,0,7.6,4.1,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,1.3,0,0,0,0,0,2.5,0,1.2,0,0,0,0,0,7.5,2.3,0,0,0,9.6,8.7,0,0,0,0,1.6,0,0,7.2,0,0,0,0,0,0.1
7-sept.,0,0,0,0,0,0.4,0,0,0,0,0.1,0,9,4.1,0,0.6,0,0,0,0,0,0,0,0,0.8,0.9,0,2.7,0,0,0,0,0,7.3,0,0.8,0,0,0,0,0,8.3,2.3,0,0,0,6.9,2,0,0,0,0.1,5,0,0,11.7,0,0,0.8,0,0,0
8-sept.,0,0,0,0,0,1.9,0,0,0,0,0,0,7.2,4.1,0,0,0,0,0,0,0,0,0,0.1,0.4,1.1,0,2.6,0,0,0,0,0,2.9,0,1.2,0,0,0,0,0,8.4,2.3,0,0,0,10.9,2.6,0,0,0,0.1,3.2,0,0,12.9,0,0,0.7,0,0,0.1
9-sept.,0,0,0,0,0,0,0,0,0,0,0.8,0,6.4,4.1,0,0,0,0,0,0,0,0,0,0.1,0.8,0.8,0,2.6,0,0,0,0,0,4.5,0,2.2,1.7,0.6,0,0,1.6,13.7,2.3,0,0,0,8.2,1.6,0,0,0,0.4,7.4,0,0,11.2,0,0,1.3,0,0,0.1
10-sept.,0,0,0,0,0,0.2,0,0,0,0,0.3,0,4.6,4.1,0,0,0,0,0,0,0,0,0,0.1,1,1.6,0,4.7,0,0,0,0,0,5.5,0,0.2,1.1,0,0,0,1,14.1,2.3,0,0,0,7.4,2.7,0,0,0,0.4,6.3,0,0,17.5,0,0,1.5,0,0,0.1
11-sept.,0,0,0,0,0,0,0,0,0,0,0.6,0,4.5,4.1,0,0,0,3.3,0,0,0,0,0,0.1,0.7,0.6,0,5,0,0,0,0,0,3.9,0,0.2,1.1,0,0,0,1.7,14,2,0,0,0,7.6,0,0,0,0,0.4,6.6,0,0,19,0,0,1.6,0,0,0.1
14-sept.,0,0,0,0,0,0.4,0,0,0,0,0.6,0,6.6,4.1,0,0.9,0,3.7,0,0,0,0,0,0.9,0.1,0.7,0,5.5,0,0,0,0,0,13,0,2.8,0.3,0,0,0,0.2,12.6,2.1,0,0,0,7.5,0,0,0,0,0.3,7.3,0,0,20.5,0,0,1.4,0,0,0.1
15-sept.,0,0.6,0,0,0,0.3,0,0,0,0,0.8,0,8.2,4.1,0,2,0,3.9,0,0,0,0,0,2.3,0.4,0.6,0,12.7,0,0,0,0,0,10.7,0,0,0.5,0,0,0,0,14.1,2,0,0.3,0,6.8,0,0,0,0,0.5,8.7,0,0,25.1,0,0,1.3,0,0,0
16-sept.,0,1.6,0,0,0,0.5,0,0,0,0,1.3,0,9.2,4.1,0,3,0,3.4,0,0,0,0,0,1.2,0.8,0.1,0,12.4,0,0,0,0,0,10.6,0,0,0.6,0,0,0,0.1,12.3,1.8,0,0.4,0,10.2,0,0,0,0,0.6,7.5,0,0,23.1,0,0,1.4,0,0,0
17-sept.,0,0.4,0,0,0,1.1,0,0,0,0,1,0,9.4,4.1,0,0,2,2.7,0,0,0,0,0,1.7,0.9,0,0,12,0,0,0,0,0,10.9,0,0,0.9,0,0,0,0,12,1.8,0,0.1,0,12.1,0,0.2,0,0,0.6,7.1,0,0,20.6,0,0,1.4,0,0,0
